Componente,URLs
SCC 20,"https://untref.edu.ar/mundountref/relapae-la-revista-que-discute-el-futuro-de-la-educacion-en-latinoamerica, https://untref.edu.ar/mundountref/tags/nifede"
SCC 21,"https://untref.edu.ar/muntref/es/muestras/05786/, https://untref.edu.ar/muntref/05786jimenasalvatierra_36/"
SCC 22,"https://untref.edu.ar/mundountref/christian-boltanski-en-bienalsur, https://untref.edu.ar/mundountref/bienasur-2023-llega-a-buenos-aires-con-11-muestras-en-el-muntref-y-otras-sedes"
SCC 23,"https://untref.edu.ar/mundountref/obituario-abril-2021-pascual-lencina-pujol-jorge-arias, https://untref.edu.ar/mundountref/g-20-capital-humano-cultura, https://untref.edu.ar/mundountref/marcelo-bergman-maestria-criminologia-distincion-internacional"
SCC 24,"https://untref.edu.ar/mundountref/eduardo-stupia-inauguro-el-programa-de-formacion-docente-en-artes-visuales, https://untref.edu.ar/events/seminario-de-posgrado-ecosistema-cultural-teorias-esteticas-y-produccion-creativa"
SCC 25,"https://untref.edu.ar/mundountref/crisis-economicas-argetinas-podcast, https://untref.edu.ar/mundountref/episodio-4-secretos-franquismo-podcast"
SCC 26,"https://untref.edu.ar/mundountref/evaluacion-coneau, https://untref.edu.ar/mundountref/marca-historica-escuela-tanto-danzas-tradicionales"
SCC 27,"https://untref.edu.ar/mundountref/cuerpo-de-obra-catalina-leon-arte, https://untref.edu.ar/mundountref/trayectorias-diana-wechsler"
SCC 28,"https://untref.edu.ar/muntref/en/muestras/fantastic-zoology-by-pablo-lapadula/, https://untref.edu.ar/muntref/es/muestras/la-relacion-entre-los-seres-humanos-y-la-naturaleza-a-traves-del-arte/pablo-la-padula_gabinete-biologico/, https://untref.edu.ar/muntref/es/muestras/la-relacion-entre-los-seres-humanos-y-la-naturaleza-a-traves-del-arte/pablo-la-padula_traslucido-victoriano_6/"
SCC 29,"https://untref.edu.ar/mundountref/jornada-educacion-media-cippec-untref, https://untref.edu.ar/mundountref/programa-nexos-ministerio-educacion"
SCC 30,"https://untref.edu.ar/instituto/ceer-centro-de-estudio-de-energias-renovables, https://untref.edu.ar/ceer-formulario-para-registro-de-profesionales-y-consultores-expertos/"
SCC 31,"https://untref.edu.ar/mundountref/piscitelli-la-danza-de-la-economia-regenerativa-necesita-que-naturaleza-y-tecnologia-vayan-juntas, https://untref.edu.ar/mundountref/cat/academico, https://untref.edu.ar/mundountref/profesores-emeritos-de-la-untref, https://untref.edu.ar/mundountref/lecturas-de-gramsci, https://untref.edu.ar/mundountref/emocion-y-alegria-en-la-entrega-de-casi-250-titulos-de-grado-y-posgrado, https://untref.edu.ar/mundountref/extension-inscripciones-2021, https://untref.edu.ar/mundountref/desafios-latinoamerica-fernando-carrion, https://untref.edu.ar/mundountref/femicidios-victoria-donda-luciana-de-ponti, https://untref.edu.ar/mundountref/formacion-linguitica-idiomas, https://untref.edu.ar/mundountref/inscripcion-2021-diplomatura-gestion-logistica, https://untref.edu.ar/mundountref/energia-nuclear-solucion-frente-al-cambio-climatico, https://untref.edu.ar/mundountref/se-realizaron-las-ii-jornadas-de-jovenes-estudiantes-e-investigadores, https://untref.edu.ar/mundountref/perfil-julio-grisolia, https://untref.edu.ar/mundountref/convenio-futbol-valores-Scholas-Occurrentes, https://untref.edu.ar/mundountref/tags/futbol, https://untref.edu.ar/mundountref/programa-universidad-adultos-mayores-upami-untref, https://untref.edu.ar/mundountref/posgrados-estudios-internacionales-2020-abril, https://untref.edu.ar/mundountref/impulsan-un-proyecto-para-prevenir-dengue-zika-y-chikungunya, https://untref.edu.ar/mundountref/reconocimiento-egresadas-ingeniería-ambiental, https://untref.edu.ar/mundountref/cuatro-mil-estudiantes-de-la-untref-podran-acceder-al-programa-paltex, https://untref.edu.ar/mundountref/tags/posgrados, https://untref.edu.ar/mundountref/nuevo-doctorado-diversidad-cultural-untref, https://untref.edu.ar/mundountref/posgrados-2020-salud-seguridad, https://untref.edu.ar/mundountref/31-acto-colacion-grado, https://untref.edu.ar/mundountref/tags/investigacion, https://untref.edu.ar/mundountref/migraciones-genero-y-politica, https://untref.edu.ar/mundountref/sierva-investigacion-beca, https://untref.edu.ar/mundountref/genocio-armenio-documental, https://untref.edu.ar/mundountref/desarrollo-dispositivos-medicos-faltantes-covid-19, https://untref.edu.ar/mundountref/xi-conferencia-asociacion-filosofia-historia-ciencia-afhic-1, https://untref.edu.ar/mundountref/conferencia-de-judith-butler-en-la-untref-cuerpos-que-todavia-importan, https://untref.edu.ar/mundountref/cerca-de-700-profesionales-de-la-salud-usaran-insumos-hechos-por-la-untref, https://untref.edu.ar/mundountref/el-hedor-de-america-un-homenaje-a-50-anos-de-la-edicion-de-la-primera-obra-de-rodolfo-kusch, https://untref.edu.ar/mundountref/coloquio-esial-trabajos-america-latina, https://untref.edu.ar/mundountref/7-encuentro-estudiantes-psicomotricidad, https://untref.edu.ar/mundountref/nueva-diplomatura-estadistica-educacion, https://untref.edu.ar/mundountref/baja-delito-estudio-universidad-cambridge, https://untref.edu.ar/mundountref/bienalsur-cierre-segunda-edicion, https://untref.edu.ar/mundountref/tags/conferencias, https://untref.edu.ar/mundountref/conferencia-mayo-frances-68-marin-karmitz, https://untref.edu.ar/mundountref/rectores-peronistas-acuerdo-universidades-publicas, https://untref.edu.ar/mundountref/novedades-eduntref-septiembre-2018, https://untref.edu.ar/mundountref/condolencias-Saad-Chedid, https://untref.edu.ar/mundountref/proyecto-aerogenerador-social, https://untref.edu.ar/mundountref/inscripcion-abierta-2021-posgrados-metodologia-epistemologia, https://untref.edu.ar/mundountref/licencia-violencia-de-genero-trabajadores-estudiantes, https://untref.edu.ar/mundountref/expountref-mas-de-1500-visitantes-y-un-fuerte-respaldo-a-la-educacion-publica"
SCC 32,"https://untref.edu.ar/mundountref/oscilaciones-practicas-pensamientos-y-procesos-en-el-muntref, https://untref.edu.ar/muntref/muestras/oscilaciones-practicas-pensamientos-y-procesos/"
SCC 33,"https://untref.edu.ar/mundountref/max-de-esteban-e-ivan-gomez-gutierrez-inauguran-muestras-en-muntref-inmigrantes, https://untref.edu.ar/mundountref/cat/internacional"
SCC 34,"https://untref.edu.ar/mundountref/lanzamiento-diplomatura-archivistica-gestion-documental-agn, https://untref.edu.ar/mundountref/nueva-especializacion-en-arte-sonoro"
SCC 35,"https://untref.edu.ar/mundountref/tags/muntref, https://untref.edu.ar/mundountref/inauguracion-bienal-imagen-movimiento-2020-bim, https://untref.edu.ar/mundountref/inauguracion-caseros-muestra-constelaciones-muntref-artes-visuales, https://untref.edu.ar/mundountref/tags/neo-media-lab, https://untref.edu.ar/mundountref/comenzo-el-laboratorio-de-ideas-del-muntref-centro-de-arte-y-naturaleza, https://untref.edu.ar/mundountref/muntref-noche-museos, https://untref.edu.ar/mundountref/gala-gonzalez-artes-electronicas-historias-untref, https://untref.edu.ar/muntref/arte-y-ciencia/, https://untref.edu.ar/mundountref/cuerpo-de-obra-eduardo-gil, https://untref.edu.ar/mundountref/convocatoria-muestra-fotografica-caminantes"
SCC 36,"https://untref.edu.ar/mundountref/cuarentena-caba-atenuaciones-ruido-cistas, https://untref.edu.ar/mundountref/momento-de-cuidar-de-la-salud-mental-y-emocional"
